upc,state,source_order,check_digit_valid,assigned_sku,marketplace_status,last_updated
756441905441,available,ancien 2024-10-21,true,,,
756441905465,available,ancien 2024-10-21,true,,,
756441905472,available,ancien 2024-10-21,true,,,
756441905489,available,ancien 2024-10-21,true,,,
756441905496,available,ancien 2024-10-21,true,,,
756441905502,available,ancien 2024-10-21,true,,,
756441905519,available,ancien 2024-10-21,true,,,
756441905526,available,ancien 2024-10-21,true,,,
756441905533,available,ancien 2024-10-21,true,,,
756441905540,available,ancien 2024-10-21,true,,,
756441905557,available,ancien 2024-10-21,true,,,
756441905564,available,ancien 2024-10-21,true,,,
756441905571,available,ancien 2024-10-21,true,,,
756441905588,available,ancien 2024-10-21,true,,,
756441905595,available,ancien 2024-10-21,true,,,
756441905601,available,ancien 2024-10-21,true,,,
756441905618,available,ancien 2024-10-21,true,,,
756441905625,available,ancien 2024-10-21,true,,,
756441905632,available,ancien 2024-10-21,true,,,
756441905649,available,ancien 2024-10-21,true,,,
756441905656,available,ancien 2024-10-21,true,,,
756441905663,available,ancien 2024-10-21,true,,,
756441905670,available,ancien 2024-10-21,true,,,
756441905687,available,ancien 2024-10-21,true,,,
756441905694,available,ancien 2024-10-21,true,,,
756441905700,available,ancien 2024-10-21,true,,,
756441905717,available,ancien 2024-10-21,true,,,
756441905724,available,ancien 2024-10-21,true,,,
756441905731,available,ancien 2024-10-21,true,,,
756441905748,available,ancien 2024-10-21,true,,,
756441905755,available,ancien 2024-10-21,true,,,
756441905762,available,ancien 2024-10-21,true,,,
756441905779,available,ancien 2024-10-21,true,,,
756441905786,available,ancien 2024-10-21,true,,,
756441905793,available,ancien 2024-10-21,true,,,
756441905809,available,ancien 2024-10-21,true,,,
756441905816,available,ancien 2024-10-21,true,,,
756441905823,available,ancien 2024-10-21,true,,,
756441905830,available,ancien 2024-10-21,true,,,
756441905847,available,ancien 2024-10-21,true,,,
756441905854,available,ancien 2024-10-21,true,,,
756441905861,available,ancien 2024-10-21,true,,,
756441905878,available,ancien 2024-10-21,true,,,
756441905885,available,ancien 2024-10-21,true,,,
756441905892,available,ancien 2024-10-21,true,,,
756441905908,available,ancien 2024-10-21,true,,,
756441905915,available,ancien 2024-10-21,true,,,
756441905922,available,ancien 2024-10-21,true,,,
756441905939,available,ancien 2024-10-21,true,,,
756441905946,available,ancien 2024-10-21,true,,,
756441905953,available,ancien 2024-10-21,true,,,
756441905960,available,ancien 2024-10-21,true,,,
756441905977,available,ancien 2024-10-21,true,,,
756441905984,available,ancien 2024-10-21,true,,,
756441905991,available,ancien 2024-10-21,true,,,
756441906004,available,ancien 2024-10-21,true,,,
756441906011,available,ancien 2024-10-21,true,,,
756441906028,available,ancien 2024-10-21,true,,,
756441906035,available,ancien 2024-10-21,true,,,
756441906042,available,ancien 2024-10-21,true,,,
756441906059,available,ancien 2024-10-21,true,,,
756441906066,available,ancien 2024-10-21,true,,,
756441906073,available,ancien 2024-10-21,true,,,
756441906080,available,ancien 2024-10-21,true,,,
756441906097,available,ancien 2024-10-21,true,,,
756441906103,available,ancien 2024-10-21,true,,,
756441906110,available,ancien 2024-10-21,true,,,
756441906127,available,ancien 2024-10-21,true,,,
756441906134,available,ancien 2024-10-21,true,,,
756441906141,available,ancien 2024-10-21,true,,,
756441906158,available,ancien 2024-10-21,true,,,
756441906165,available,ancien 2024-10-21,true,,,
756441906172,available,ancien 2024-10-21,true,,,
756441906189,available,ancien 2024-10-21,true,,,
756441906196,available,ancien 2024-10-21,true,,,
756441906202,available,ancien 2024-10-21,true,,,
756441906219,available,ancien 2024-10-21,true,,,
756441906226,available,ancien 2024-10-21,true,,,
756441906233,available,ancien 2024-10-21,true,,,
756441906240,available,ancien 2024-10-21,true,,,
756441906257,available,ancien 2024-10-21,true,,,
756441906264,available,ancien 2024-10-21,true,,,
756441906271,available,ancien 2024-10-21,true,,,
756441906288,available,ancien 2024-10-21,true,,,
756441906295,available,ancien 2024-10-21,true,,,
756441906301,available,ancien 2024-10-21,true,,,
756441906318,available,ancien 2024-10-21,true,,,
756441906325,available,ancien 2024-10-21,true,,,
756441906332,available,ancien 2024-10-21,true,,,
756441906349,available,ancien 2024-10-21,true,,,
756441906356,available,ancien 2024-10-21,true,,,
756441906363,available,ancien 2024-10-21,true,,,
756441906370,available,ancien 2024-10-21,true,,,
756441906387,available,ancien 2024-10-21,true,,,
756441906394,available,ancien 2024-10-21,true,,,
756441906400,available,ancien 2024-10-21,true,,,
756441906417,available,ancien 2024-10-21,true,,,
756441906424,available,ancien 2024-10-21,true,,,
756441906431,available,ancien 2024-10-21,true,,,
756441906448,available,ancien 2024-10-21,true,,,
756441906455,available,ancien 2024-10-21,true,,,
756441906462,available,ancien 2024-10-21,true,,,
756441906479,available,ancien 2024-10-21,true,,,
756441906486,available,ancien 2024-10-21,true,,,
756441906493,available,ancien 2024-10-21,true,,,
756441906509,available,ancien 2024-10-21,true,,,
756441906516,available,ancien 2024-10-21,true,,,
756441906523,available,ancien 2024-10-21,true,,,
756441906530,available,ancien 2024-10-21,true,,,
756441906547,available,ancien 2024-10-21,true,,,
756441906554,available,ancien 2024-10-21,true,,,
756441906561,available,ancien 2024-10-21,true,,,
756441906578,available,ancien 2024-10-21,true,,,
756441906585,available,ancien 2024-10-21,true,,,
756441906592,available,ancien 2024-10-21,true,,,
756441906608,available,ancien 2024-10-21,true,,,
756441906615,available,ancien 2024-10-21,true,,,
756441906622,available,ancien 2024-10-21,true,,,
756441906639,available,ancien 2024-10-21,true,,,
756441906646,available,ancien 2024-10-21,true,,,
756441906653,available,ancien 2024-10-21,true,,,
756441906660,available,ancien 2024-10-21,true,,,
756441906677,available,ancien 2024-10-21,true,,,
756441906684,available,ancien 2024-10-21,true,,,
756441906691,available,ancien 2024-10-21,true,,,
756441906707,available,ancien 2024-10-21,true,,,
756441906714,available,ancien 2024-10-21,true,,,
756441906721,available,ancien 2024-10-21,true,,,
756441906738,available,ancien 2024-10-21,true,,,
756441906745,available,ancien 2024-10-21,true,,,
756441906752,available,ancien 2024-10-21,true,,,
756441906769,available,ancien 2024-10-21,true,,,
756441906776,available,ancien 2024-10-21,true,,,
756441906783,available,ancien 2024-10-21,true,,,
756441906790,available,ancien 2024-10-21,true,,,
756441906806,available,ancien 2024-10-21,true,,,
756441906813,available,ancien 2024-10-21,true,,,
756441906820,available,ancien 2024-10-21,true,,,
756441906837,available,ancien 2024-10-21,true,,,
756441906844,available,ancien 2024-10-21,true,,,
756441906851,available,ancien 2024-10-21,true,,,
756441906868,available,ancien 2024-10-21,true,,,
756441906875,available,ancien 2024-10-21,true,,,
756441906882,available,ancien 2024-10-21,true,,,
756441906899,available,ancien 2024-10-21,true,,,
756441906905,available,ancien 2024-10-21,true,,,
756441906912,available,ancien 2024-10-21,true,,,
756441906929,available,ancien 2024-10-21,true,,,
756441906936,available,ancien 2024-10-21,true,,,
756441906943,available,ancien 2024-10-21,true,,,
756441906950,available,ancien 2024-10-21,true,,,
756441906967,available,ancien 2024-10-21,true,,,
