ASIN list,Discount type,Coupon discount % Off value,Coupon title,Coupon budget,Coupon start date,Coupon end date,Limit redemption to one per customer,Targeted Segment
B0H8259J9G;B0H827V9DJ;B0H82B7KK1;B0H82CBLRM;B0H82K7Y7S;B0H82NHQCL;B0H82RQ226;B0H82X48CD;B0H8369PMK;B0H83SJFR7;B0H83XBXHX;B0H83Y8JH7;B0H83ZH3TB;B0H83ZRNCS;B0H843Q9B5;B0H84547PM;B0H845JBM6;B0H8462L4S;B0H8493HNR;B0H84CGGXL;B0H84JH1WN;B0H84PVG1G;B0H84XMG42;B0H84Z6QWY;B0H84ZL156;B0H8531B8B;B0H853HGHC;B0H853SHVC;B0H854C7SZ;B0H8564C6D;B0H856RRRK;B0H857K38C;B0H859JMGJ;B0H859VYXH;B0H85CF81Y;B0H85DF1R7;B0H85DRT93;B0H85GR968;B0H85JF1V1;B0H85KQJKS;B0H85MQLHG;B0H85N7X8W;B0H85PJ516;B0H85V287S;B0H86PRTWS;B0H86Z59DW,% off,13,Uncrustables 24 Count Launch Savings,110,2026-07-20,2026-08-19,Yes,All customers
B0H788M8WM;B0H822MPKC;B0H828GQLP;B0H82JYZQH;B0H82L74PL;B0H82LZLM2;B0H82YB4PD;B0H833W54L;B0H83789KC;B0H83D8TFQ,% off,13,Uncrustables 30 Count Launch Savings,120,2026-07-20,2026-08-19,Yes,All customers
B0H784LMG6;B0H82JTY19;B0H82MKPRJ;B0H82QPCJL;B0H82SMZ2M;B0H82XP1MM;B0H831889Q;B0H832SD15;B0H839TPC5;B0H83RR2XQ,% off,12,Uncrustables 45 Count Launch Savings,180,2026-07-20,2026-08-19,Yes,All customers
B0H786L5MW;B0H82T12L7;B0H82XNFRW;B0H839G6RQ;B0H83FP8WW;B0H83GBJLW;B0H83LSCQQ;B0H83RVHNF,% off,13,Uncrustables 90 Count Launch Savings,340,2026-07-20,2026-08-19,Yes,All customers
B0H83H71F8;B0H83MDDBL;B0H83NM5PX;B0H83RCTVV;B0H83S368B;B0H83TQPJB;B0H83Z6S3Q,% off,13,Uncrustables 120 Count Launch Savings,400,2026-07-20,2026-08-19,Yes,All customers
