ordinal,sku,asin,gate_status,readback_status,observed_at,secondary_total,fixed_card_occurrences,additional_total,additional_relevant,exact_recipe_images,shared_context_images,recipe_components_covered,recipe_components_required,blockers,primary_evidence_path,primary_evidence_sha256,row_evidence_sha256
104,RU-ASC3-4TUS,B0H83SJFR7,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,2,GALLERY_REPAIR_NOT_APPLIED;MISSING_RECIPE_COMPONENT:PB_HONEY;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,2f0999a6842dd0966d3fec944fe10e14e663031809e9a5ad47c791348cd14b1e
105,RY-ASMO-6N4F,B0H8493HNR,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_HONEY;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,69e4565f0f40a99f04064ace7ad0f93db032df1ee6b254013831a1a8fe38c349
106,RY-ASO3-24Q2,B0H84XMG42,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_MIXED_BERRY_MORNING_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,b5119d85aa9e0296ef646b1517503ae834f5d8e730dba268ccde504a362523d6
107,RZ-AS26-WLRM,B0H85PJ516,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,5,0,1,2,GALLERY_REPAIR_NOT_APPLIED;DISALLOWED_ASSET_SHA256;ASSET_HAS_POLICY_ISSUES;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_BLACKBERRY;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,0f0f512f1d890901de28ca5fc172e76712c9226f6dc81651a6f53501a8b98f77
108,SA-ASCK-J2B2,B0H82XP1MM,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,2fcbf0d976515200e261358816f29108f21672bc1604ae3e4c533ade0d10e79f
109,SA-ASDW-SNEW,B0H82SMZ2M,BLOCKED,POINT_IN_TIME_PASS_LATEST_READBACK_MISSING,2026-07-17T22:43:12.080Z,7,1,6,6,6,0,1,1,LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,e48432ca3c3991afd53d164498ab8d7fed95546eaba0f948657d4f5437c2a1d4
110,SC-ASH8-4RQG,B0H856DWVS,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,2,GALLERY_REPAIR_NOT_APPLIED;MISSING_RECIPE_COMPONENT:PB_BLUEBERRY_PROTEIN;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,7cc598840e33e4ec27b7ae64a6b486cc5daefe762ca7566c669b638a4242b6fb
111,SG-AS32-LZ9Y,B0H8564C6D,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_CHOCOLATE_FLAVORED_SPREAD;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,65a1de2ff7fb12618a5a341028497b958665c4c9f23cf70851afedeea10a1309
112,SG-ASLB-M2DG,B0H84PFKYC,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,5,4,1,1,2,GALLERY_REPAIR_NOT_APPLIED;UNAPPROVED_SHARED_CONTEXT_ASSET;MISSING_RECIPE_COMPONENT:PB_GRAPE;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,5870858e29d1f62e7137442199e8dd20a0c24c4c025462231e5f905c74e054b4
113,SH-ASO0-PW37,B0H83ZH3TB,FAIL,POINT_IN_TIME_FAIL_REPAIR_NOT_APPLIED,2026-07-17T22:43:12.080Z,7,1,6,6,5,1,1,2,GALLERY_REPAIR_NOT_APPLIED;MISSING_RECIPE_COMPONENT:PB_GRAPE;UNBALANCED_RECIPE_COMPONENT_COUNTS;NOT_RECIPE_COMPONENT_ROUND_ROBIN;LATEST_LIVE_GALLERY_READBACK_REQUIRED,data/audits/uncrustables-live-gallery-fetch-20260718/manifest.json,aeea0813c67584d5d082186fca92535487b7a96de1dedd9e0e0bb67930944f02,d7fe8ab57a65719196a58bb72e3a2b4ae92b388de8d4e9670eda91f2eefdd3af
