ordinal,sku,asin,disposition,recipe_keys,expected_total_units,current_other_slots,current_additional_after_card,approved_card_slots,hard_violation_codes,hold_reason_codes,relaxed_exceptions_applied,explicit_wrong_product_or_claim,source_row_evidence_sha256,row_evidence_sha256
19,BY-ASY2-8UJJ,B0H83789KC,KEEP,WHOLE_WHEAT_PB_STRAWBERRY,30,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,25d8c6b7d94c7524d763e8d7ae69f3071ae0bd9829b8bee1fa5b07899a6b9762,cb3ad3bc9653d351e416b97e3730fd8c0c05573c666ecee1afa3c7f5e3f549ef
20,CE-ASGK-ZRHM,B0H84651LM,KEEP,PB_STRAWBERRY_PROTEIN|PB_BLUEBERRY_PROTEIN,24,7,6,1,,,,false,2afdd8a71d1c8bc869935e90065aafb52f985c1ce4d41e0db9572f805db7f76d,cb64c728b507d3871bee551f8fe43406c0409ac677925aa42c0c1e01b363597c
21,CK-ASUM-WT9W,B0H86PRTWS,KEEP,CHOCOLATE_HAZELNUT|PB_BLUEBERRY_PROTEIN,24,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,c8879382199bcff7dd899c984d103fb44785f5796964cd412f8cb8091af91ae9,6ef4b30e78f3587098b7d197cb8848934c99347a8455b79cb3ed77721093ae89
22,CN-ASG6-892G,B0H8422DQ1,KEEP,PB_CHOCOLATE_FLAVORED_SPREAD,120,7,6,1,,,,false,15ae42340cc0363189752c8d2353e7d71e866aae7328106ea8ae300ccb9c940a,096dc6f4bf63eed79b5d36339b01b175e7105648e71948338014c599de307aa9
23,DA-ASF0-D7RG,B0H83VBTLT,KEEP,PB_GRAPE,90,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,bc023940cb17ab207dac16d8d06537813af84d70325a08a70d6f01b53e36ea6c,749f18730dfbcee653c61eac9bb965cace7c487dd4f3ee49fd4ab6a1bb6fc9c4
24,DF-ASQT-BLUQ,B0H83FKSN6,KEEP,PB_CHOCOLATE_FLAVORED_SPREAD,45,7,6,1,,,,false,4dfa232e63f41f59368e52a9a966de37bef90fd397ada0e21c023e2f6511809a,a003415313e795083a7b003bb7a289f5fd3cc59f1a0d8556cd58b651b07f1eec
25,DP-ASQ6-ZPZU,B0H83Y8JH7,KEEP,PB_STRAWBERRY_PROTEIN|PB_PLAIN,24,7,6,1,,,,false,57bcca0b6448a0f4ebe271b095c394305611414669f19e3922a49962d97e5320,f1fe917df3aaca61eab7df676ae904e2a2b00bda8cff261d5f5e4e6b7f6c4bc1
26,DY-AS8W-6MJG,B0H82MKPRJ,KEEP,PB_BLUEBERRY_PROTEIN,45,7,6,1,,,,false,43274d5064c9d7d5c5f74b7a0793dd496724b251aa62889cd785437f2fd1df80,dc326b428fcee09e9f80a0b41212e69063d2e755daedd94022d6152656af53e5
27,EF-AS4A-JCLU,B0H83XB855,KEEP,PB_STRAWBERRY_PROTEIN|CHOCOLATE_HAZELNUT,24,7,6,1,,,,false,09a3b2b0e491232021b0bc798f928f92c3fdca96700b79b026f028c56a8a9358,65b2c3bb4116ac262e8eb480fab21fb636a23870017a7a8e08e41946cc761e07
28,EJ-ASCD-8K87,B0H82PXWKS,KEEP,PB_RASPBERRY,90,7,6,1,,,,false,39917d2419e0882608de441f4728f13c74dd99d4e06d41e5b9e43856e5e98d8f,7e571dbb768cfdfbf9bb8718d05b8b5f592c273b61f9007d25cb633b49129928
29,ER-ASRK-TPYQ,B0H84JH1WN,KEEP,PB_RASPBERRY|PB_BLUEBERRY_PROTEIN,24,7,6,1,,,,false,6e4051bd5785d0faa5a4b66fe3e681bef1cda517572c37df0d10bb019645d931,68848432b96ed82afdd0f57c967305ec5160dc46c52dfc3561606bd17a9327b3
30,ES-AS8A-3W3M,B0H83D8TFQ,KEEP,PB_CHOCOLATE_FLAVORED_SPREAD,30,7,6,1,,,,false,12b9c4b175a3d60c15cacf26e7d8ef06a0d266930911e5514e45d55d6220257f,ae9e1a46e9b5b91a5bffc6ccc3a31e549fc24ad85a500f8b6e1f2b270bac6d2b
31,EW-ASJ9-E79N,B0H82MT74H,KEEP,PB_CHOCOLATE_FLAVORED_SPREAD,30,7,6,1,,,,false,14918c374e221f0383b143c37d83487e9a19a19811c5e10c5e75b463fca0db7a,28374e2fe1d654e73231298241159730648d06932e3c95824d34cb1ccaf8f742
32,EW-ASWP-PMZX,B0H891WSZ9,KEEP,PB_STRAWBERRY,30,7,6,1,,,,false,84e43e1a7146249143a5796f2ec99a7ad353d572ada6c3d1b096d96390807b37,a14bf7be4504de6ca3e8623a29c958d37d265afd108376612d13446f89c6c76d
33,EX-ASC0-5CRL,B0H83JJW1F,KEEP,PB_MIXED_BERRY_MORNING_PROTEIN,120,5,4,1,,,KEEP_OWNER_RELAXED_RETAILER_CONTEXT,false,4275ac81230a283f7d888eedef7353adb09974baf038bf05aa1303b64ed8e7fa,9983b2c39bb646c0cb4d3f9c43ca732f757bd26437513fe7f6293b353e474d7b
34,EZ-ASLA-Y7MZ,B0H83GBJLW,KEEP,WHOLE_WHEAT_PB_STRAWBERRY,90,7,6,1,,,KEEP_OWNER_RELAXED_MULTI_FLAVOR_CONTEXT,false,c5b5c80ccd5241220cf8134ce54593bfb7ecbbaf87e058f28812ccad55e94d7a,d138dfc3f66a5336e96bf1905100945497a5d63f1dbabfaf03bc4996ec3b4138
35,FK-AS6B-6G25,B0H8259J9G,KEEP,PB_BLACKBERRY,24,7,6,1,,,,false,65fe4506980f1aa900cc841e8d223d23c046231f2e1d066b786053b2b89587e3,e5967d3430d759751fb64ddc64c5376f3e5c5c0899ab1467eaf02e8652033700
