ordinal,listing_key,sku,asin,tier_count,identity_status,identity_reason_codes,target_regular_base,target_minimum,target_maximum,target_b2b,amazon_regular_base,regular_status,amazon_minimum,minimum_status,amazon_maximum,maximum_status,amazon_b2b,b2b_status,amazon_live_b2c,amazon_list_price,discounted_price_present,discounted_price_active,discounted_price_value,discounted_price_start_at,discounted_price_end_at,promo_arm,promo_lever,promo_discount_percent,promo_owner_approval_status,coupon_live_application_evidence,patch_disposition,patch_mismatch_fields,preserve_discounted_price_exactly,expected_listing_effective_after_patch,live_b2c_vs_expected_after_patch,channelmax_status,amazon_issue_codes
12,amazon:1:BH-AS7H-D4FV,BH-AS7H-D4FV,B0H853MCYZ,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,71.07,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,19038
13,amazon:1:BH-ASTN-S4XJ,BH-ASTN-S4XJ,B0H83ZRNCS,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,71.42,MISMATCH,72.14,78.25,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MISMATCH,CANONICAL_CONFIRMED,19038
14,amazon:1:BH-ASVY-CR8H,BH-ASVY-CR8H,B0H83S368B,120,EXACT_SCOPE_MATCH,,297.99,258.57,297.99,297.99,304.2,MISMATCH,258.57,MATCH,297.99,MATCH,295.01,MISMATCH,297.99,313.95,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,297.99,MATCH,CANONICAL_CONFIRMED,19038
15,amazon:1:BK-AS5Z-8UY5,BK-AS5Z-8UY5,B0H85JF1V1,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,70.8,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
16,amazon:1:BM-AS5J-3MQY,BM-AS5J-3MQY,B0H83LSCQQ,90,EXACT_SCOPE_MATCH,,252.99,219.57,252.99,252.99,271.91,MISMATCH,219.57,MATCH,252.99,MATCH,250.46,MISMATCH,271.91,300.15,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,252.99,MISMATCH,CANONICAL_CONFIRMED,19038
17,amazon:1:BQ-ASUE-NT37,BQ-ASUE-NT37,B0H842HL49,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,70.17,MISMATCH,70.88,78.25,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,19038
18,amazon:1:BX-AS5P-6WQV,BX-AS5P-6WQV,B0H83NM5PX,120,EXACT_SCOPE_MATCH,,297.99,258.57,297.99,297.99,366.91,MISMATCH,258.57,MATCH,297.99,MATCH,295.01,MISMATCH,366.91,405.03,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,297.99,MISMATCH,CANONICAL_CONFIRMED,19038
19,amazon:1:BY-ASY2-8UJJ,BY-ASY2-8UJJ,B0H83789KC,30,EXACT_SCOPE_MATCH,,85.99,74.75,85.99,85.99,87.94,MISMATCH,74.75,MATCH,85.99,MATCH,85.13,MISMATCH,85.99,84.18,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,85.99,MATCH,CANONICAL_CONFIRMED,19038
20,amazon:1:CE-ASGK-ZRHM,CE-ASGK-ZRHM,B0H84651LM,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,79.39,MISMATCH,66.95,MATCH,76.99,MATCH,78.6,MISMATCH,79.39,87.63,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,19038
21,amazon:1:CK-ASUM-WT9W,CK-ASUM-WT9W,B0H86PRTWS,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,80.46,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
