ordinal,listing_key,sku,asin,tier_count,identity_status,identity_reason_codes,target_regular_base,target_minimum,target_maximum,target_b2b,amazon_regular_base,regular_status,amazon_minimum,minimum_status,amazon_maximum,maximum_status,amazon_b2b,b2b_status,amazon_live_b2c,amazon_list_price,discounted_price_present,discounted_price_active,discounted_price_value,discounted_price_start_at,discounted_price_end_at,promo_arm,promo_lever,promo_discount_percent,promo_owner_approval_status,coupon_live_application_evidence,patch_disposition,patch_mismatch_fields,preserve_discounted_price_exactly,expected_listing_effective_after_patch,live_b2c_vs_expected_after_patch,channelmax_status,amazon_issue_codes
42,amazon:1:GR-AS0R-YPCF,GR-AS0R-YPCF,B0H82GJ292,30,EXACT_SCOPE_MATCH,,85.99,74.75,85.99,85.99,87.94,MISMATCH,74.75,MATCH,85.99,MATCH,77.35,MISMATCH,78.13,86.25,true,true,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,74.81,MISMATCH,CANONICAL_CONFIRMED,19038
43,amazon:1:GR-AS1P-DBB2,GR-AS1P-DBB2,B0H82S7TFG,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,70.8,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,19038
44,amazon:1:GU-ASQ1-S7M6,GU-ASQ1-S7M6,B0H828GQLP,30,EXACT_SCOPE_MATCH,,85.99,74.75,85.99,85.99,87.94,MISMATCH,74.75,MATCH,85.99,MATCH,85.13,MISMATCH,85.99,84.87,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,85.99,MATCH,CANONICAL_CONFIRMED,19038
45,amazon:1:GX-ASTJ-WHV3,GX-ASTJ-WHV3,B0H83XV9WX,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,76.99,MATCH,74.05,MISMATCH,85.7,MISMATCH,76.22,MISMATCH,76.99,76.99,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,minimum|maximum|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,18155|18639
46,amazon:1:HA-ASCR-ME3A,HA-ASCR-ME3A,B0H85V287S,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,86.38,MISMATCH,66.95,MATCH,76.99,MATCH,79.75,MISMATCH,86.38,78.53,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MISMATCH,CANONICAL_CONFIRMED,19038
47,amazon:1:HD-ASEQ-MFAY,HD-ASEQ-MFAY,B0H83QW85C,90,EXACT_SCOPE_MATCH,,252.99,219.57,252.99,252.99,271.91,MISMATCH,219.57,MATCH,252.99,MATCH,250.46,MISMATCH,271.91,300.15,true,true,220.1,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,220.1,MISMATCH,CANONICAL_CONFIRMED,19038
48,amazon:1:HR-AS7Q-7ZDF,HR-AS7Q-7ZDF,B0H856RRRK,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,76.99,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
49,amazon:1:HU-ASMI-DN3X,HU-ASMI-DN3X,B0H82YMT6K,30,EXACT_SCOPE_MATCH,,85.99,74.75,85.99,85.99,97.51,MISMATCH,74.75,MATCH,85.99,MATCH,85.13,MISMATCH,97.51,107.64,true,true,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,74.81,MISMATCH,CANONICAL_CONFIRMED,19038
50,amazon:1:HX-ASO8-XCL2,HX-ASO8-XCL2,B0H832SD15,45,EXACT_SCOPE_MATCH,,130.99,114.27,130.99,130.99,134.44,MISMATCH,114.27,MATCH,130.99,MATCH,129.68,MISMATCH,130.99,125.47,false,false,,,,A,COUPON_12,12,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,130.99,MATCH,CANONICAL_CONFIRMED,19038
51,amazon:1:HZ-ASPS-4L22,HZ-ASPS-4L22,B0H857K38C,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,80.18,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
52,amazon:1:JC-ASM4-XXW7,JC-ASM4-XXW7,B0H84ZL156,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,86.08,MISMATCH,66.95,MATCH,76.99,MATCH,79.47,MISMATCH,86.08,78.25,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MISMATCH,CANONICAL_CONFIRMED,19038
53,amazon:1:JH-ASV9-Z46X,JH-ASV9-Z46X,B0H8369PMK,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,77.64,MISMATCH,66.95,MATCH,76.99,MATCH,77.39,MISMATCH,77.64,85.7,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MISMATCH,CANONICAL_CONFIRMED,19038
54,amazon:1:JL-ASUC-JUZE,JL-ASUC-JUZE,B0H831MXGD,45,EXACT_SCOPE_MATCH,,130.99,114.27,130.99,130.99,134.44,MISMATCH,114.27,MATCH,130.99,MATCH,114.27,MISMATCH,114.59,126.5,true,true,114.27,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_12,12,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,114.27,MISMATCH,CANONICAL_CONFIRMED,19038
55,amazon:1:JS-AS5F-QB8T,JS-AS5F-QB8T,B0H822TJ7C,30,EXACT_SCOPE_MATCH,,85.99,74.75,85.99,85.99,93.13,MISMATCH,74.75,MATCH,85.99,MATCH,85.13,MISMATCH,93.13,102.81,true,true,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,74.81,MISMATCH,CANONICAL_CONFIRMED,19038
56,amazon:1:JT-ASKD-KS8T,JT-ASKD-KS8T,B0H83Z6S3Q,120,EXACT_SCOPE_MATCH,,297.99,258.57,297.99,297.99,304.2,MISMATCH,258.57,MATCH,297.99,MATCH,295.01,MISMATCH,297.99,311.19,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,297.99,MATCH,CANONICAL_CONFIRMED,19038
57,amazon:1:JU-ASM0-KV4Z,JU-ASM0-KV4Z,B0H8462L4S,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,71.07,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
58,amazon:1:JU-ASYC-SSJD,JU-ASYC-SSJD,B0H854C7SZ,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,70.8,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
59,amazon:1:JY-ASPW-LB4K,JY-ASPW-LB4K,B0H84621N6,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,71.14,MISMATCH,67.81,MISMATCH,78.53,MISMATCH,70.43,MISMATCH,71.14,78.53,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|minimum|maximum|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,18155|18639
60,amazon:1:KD-AS12-8HZ3,KD-AS12-8HZ3,B0H845JBM6,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,44.29,MISMATCH,76.99,MATCH,51.77,MISMATCH,52.29,76.99,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|minimum|b2b,true,76.99,MISMATCH,CANONICAL_CONFIRMED,19038
61,amazon:1:KN-ASYZ-ST4M,KN-ASYZ-ST4M,B0H83XBXHX,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,77.52,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,77.52,78.53,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MISMATCH,CANONICAL_CONFIRMED,19038
62,amazon:1:KP-ASYC-RN84,KP-ASYC-RN84,B0H83FYZR3,90,EXACT_SCOPE_MATCH,,252.99,219.57,252.99,252.99,285.02,MISMATCH,219.57,MATCH,252.99,MATCH,250.46,MISMATCH,285.02,314.64,true,true,220.1,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,220.1,MISMATCH,CANONICAL_CONFIRMED,19038
63,amazon:1:LH-ASP7-KZR4,LH-ASP7-KZR4,B0H82XNFRW,90,EXACT_SCOPE_MATCH,,252.99,219.57,252.99,252.99,258.32,MISMATCH,219.57,MATCH,252.99,MATCH,250.46,MISMATCH,252.99,244.26,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,252.99,MATCH,CANONICAL_CONFIRMED,19038
64,amazon:1:LJ-ASYO-FWJK,LJ-ASYO-FWJK,B0H853SHVC,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,71.07,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
65,amazon:1:LK-AS7X-K43B,LK-AS7X-K43B,B0H84CGGXL,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,71.07,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
66,amazon:1:LP-AS9J-HSVB,LP-AS9J-HSVB,B0H82B7KK1,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,71.35,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
67,amazon:1:LU-ASK0-LSDF,LU-ASK0-LSDF,B0H84YZDB7,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,71.63,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,19038
68,amazon:1:ME-AS1I-SEX2,ME-AS1I-SEX2,B0H83RVHNF,90,EXACT_SCOPE_MATCH,,252.99,219.57,252.99,252.99,258.32,MISMATCH,219.57,MATCH,252.99,MATCH,250.46,MISMATCH,252.99,246.33,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,252.99,MATCH,CANONICAL_CONFIRMED,19038
69,amazon:1:MF-AS0J-YRT4,MF-AS0J-YRT4,B0H82NHQCL,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,70.8,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
70,amazon:1:MP-ASYO-QNU2,MP-ASYO-QNU2,B0H84Z9KWL,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,71.07,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,19038
71,amazon:1:MP-ASZ9-TKE7,MP-ASZ9-TKE7,B0H837HLKC,30,EXACT_SCOPE_MATCH,,85.99,74.75,85.99,85.99,93.13,MISMATCH,74.75,MATCH,85.99,MATCH,85.13,MISMATCH,93.13,102.81,true,true,74.81,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,74.81,MISMATCH,CANONICAL_CONFIRMED,19038
72,amazon:1:NC-ASPL-EXE8,NC-ASPL-EXE8,B0H83QRV43,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,70.88,MISMATCH,67.57,MISMATCH,78.25,MISMATCH,70.17,MISMATCH,70.88,78.25,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|minimum|maximum|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,18155|18639
73,amazon:1:NJ-ASAC-PTK2,NJ-ASAC-PTK2,B0H82X48CD,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,70.8,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
74,amazon:1:NM-ASEW-S2SK,NM-ASEW-S2SK,B0H86TVN3C,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,96.99,MISMATCH,76.86,MISMATCH,77.64,85.7,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|maximum|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,
75,amazon:1:NS-ASSD-B3JJ,NS-ASSD-B3JJ,B0H82L945T,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,71.9,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,19038
76,amazon:1:NT-ASIL-V5LK,NT-ASIL-V5LK,B0H84547PM,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,67.81,MISMATCH,78.53,MISMATCH,76.74,MISMATCH,77.52,76.99,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|minimum|maximum|b2b,true,76.99,MISMATCH,CANONICAL_CONFIRMED,19038
77,amazon:1:NV-AS86-HD44,NV-AS86-HD44,B0H85KQJKS,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,71.07,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
78,amazon:1:PB-ASAF-G2T6,PB-ASAF-G2T6,B0H82K7Y7S,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,72.45,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
79,amazon:1:PJ-ASAX-6LTG,PJ-ASAX-6LTG,B0H82T12L7,90,EXACT_SCOPE_MATCH,,252.99,219.57,252.99,252.99,271.91,MISMATCH,219.57,MATCH,252.99,MATCH,250.46,MISMATCH,271.91,300.15,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,252.99,MISMATCH,CANONICAL_CONFIRMED,19038
80,amazon:1:PJ-ASDX-E8LW,PJ-ASDX-E8LW,B0H85MGP35,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,48.73,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,48.73,44.3,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,18155
81,amazon:1:PL-ASR9-U94A,PL-ASR9-U94A,B0H83RR2XQ,45,EXACT_SCOPE_MATCH,,130.99,114.27,130.99,130.99,138.98,MISMATCH,114.27,MATCH,130.99,MATCH,129.68,MISMATCH,138.98,153.41,false,false,,,,A,COUPON_12,12,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,130.99,MISMATCH,CANONICAL_CONFIRMED,19038
82,amazon:1:PP-AS23-SPLQ,PP-AS23-SPLQ,B0H84CDNQG,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,71.07,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,19038
83,amazon:1:PR-AS79-8SDF,PR-AS79-8SDF,B0H82L74PL,30,EXACT_SCOPE_MATCH,,85.99,74.75,85.99,85.99,93.13,MISMATCH,74.75,MATCH,85.99,MATCH,85.13,MISMATCH,93.13,102.81,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,85.99,MISMATCH,CANONICAL_CONFIRMED,19038
84,amazon:1:PT-AS5B-Z2XH,PT-AS5B-Z2XH,B0H84Z6QWY,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,70.8,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
85,amazon:1:PU-AS3D-SA5Z,PU-AS3D-SA5Z,B0H83H71F8,120,EXACT_SCOPE_MATCH,,297.99,258.57,297.99,297.99,304.2,MISMATCH,258.57,MATCH,297.99,MATCH,295.01,MISMATCH,297.99,313.95,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,297.99,MATCH,CANONICAL_CONFIRMED,19038
86,amazon:1:PW-ASDZ-CSR8,PW-ASDZ-CSR8,B0H839TPC5,45,EXACT_SCOPE_MATCH,,130.99,114.27,130.99,130.99,138.98,MISMATCH,114.27,MATCH,130.99,MATCH,129.68,MISMATCH,138.98,153.41,false,false,,,,A,COUPON_12,12,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,130.99,MISMATCH,CANONICAL_CONFIRMED,19038
87,amazon:1:PY-ASBM-WX6W,PY-ASBM-WX6W,B0H82B7GV5,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,70.8,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,19038
88,amazon:1:QC-ASX2-RHPA,QC-ASX2-RHPA,B0H83TQPJB,120,EXACT_SCOPE_MATCH,,297.99,258.57,297.99,297.99,304.2,MISMATCH,258.57,MATCH,297.99,MATCH,295.01,MISMATCH,297.99,311.19,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,297.99,MATCH,CANONICAL_CONFIRMED,19038
89,amazon:1:QE-ASEQ-4YV5,QE-ASEQ-4YV5,B0H82CBLRM,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,76.22,MISMATCH,76.99,70.8,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|b2b,true,76.99,MATCH,CANONICAL_CONFIRMED,19038
90,amazon:1:QP-ASAD-PTLX,QP-ASAD-PTLX,B0H85DG2JQ,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,78.76,MISMATCH,66.95,MATCH,76.99,MATCH,70.17,MISMATCH,70.88,78.25,true,true,66.98,2026-07-14T00:00:00Z,2026-08-13T23:59:59Z,B,SALEPRICE_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,NOT_APPLICABLE,PATCH_REQUIRED,regular_base|b2b,true,66.98,MISMATCH,CANONICAL_CONFIRMED,19038
91,amazon:1:QW-ASRZ-SYKC,QW-ASRZ-SYKC,B0H83MDDBL,120,EXACT_SCOPE_MATCH,,297.99,258.57,297.99,297.99,304.2,MISMATCH,288.39,MISMATCH,319.47,MISMATCH,295.01,MISMATCH,297.99,297.99,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base|minimum|maximum|b2b,true,297.99,MATCH,CANONICAL_CONFIRMED,
92,amazon:1:QX-AS89-H8YC,QX-AS89-H8YC,B0H82RQ226,24,EXACT_SCOPE_MATCH,,76.99,66.95,76.99,76.99,77.64,MISMATCH,66.95,MATCH,76.99,MATCH,76.99,MATCH,77.64,,false,false,,,,A,COUPON_13,13,PROPOSED_OWNER_APPROVAL_REQUIRED,UNKNOWN_NOT_EXPOSED_BY_SOURCE_SNAPSHOT,PATCH_REQUIRED,regular_base,true,76.99,MISMATCH,CANONICAL_CONFIRMED,18701|19038
