SKU	ASIN	SellingVenue	MinSellingPrice	MaxSellingPrice
JL-ASUC-JUZE	B0H831MXGD	AmazonUS	114.27	130.99
JS-AS5F-QB8T	B0H822TJ7C	AmazonUS	74.75	85.99
JT-ASKD-KS8T	B0H83Z6S3Q	AmazonUS	258.57	297.99
JU-ASM0-KV4Z	B0H8462L4S	AmazonUS	66.95	76.99
JU-ASYC-SSJD	B0H854C7SZ	AmazonUS	66.95	76.99
JY-ASPW-LB4K	B0H84621N6	AmazonUS	66.95	76.99
KD-AS12-8HZ3	B0H845JBM6	AmazonUS	66.95	76.99
KN-ASYZ-ST4M	B0H83XBXHX	AmazonUS	66.95	76.99
KP-ASYC-RN84	B0H83FYZR3	AmazonUS	219.57	252.99
LH-ASP7-KZR4	B0H82XNFRW	AmazonUS	219.57	252.99
LJ-ASYO-FWJK	B0H853SHVC	AmazonUS	66.95	76.99
LK-AS7X-K43B	B0H84CGGXL	AmazonUS	66.95	76.99
LP-AS9J-HSVB	B0H82B7KK1	AmazonUS	66.95	76.99
LU-ASK0-LSDF	B0H84YZDB7	AmazonUS	66.95	76.99
ME-AS1I-SEX2	B0H83RVHNF	AmazonUS	219.57	252.99
MF-AS0J-YRT4	B0H82NHQCL	AmazonUS	66.95	76.99
MP-ASYO-QNU2	B0H84Z9KWL	AmazonUS	66.95	76.99
MP-ASZ9-TKE7	B0H837HLKC	AmazonUS	74.75	85.99
NC-ASPL-EXE8	B0H83QRV43	AmazonUS	66.95	76.99
NJ-ASAC-PTK2	B0H82X48CD	AmazonUS	66.95	76.99
NM-ASEW-S2SK	B0H86TVN3C	AmazonUS	66.95	76.99
NS-ASSD-B3JJ	B0H82L945T	AmazonUS	66.95	76.99
NT-ASIL-V5LK	B0H84547PM	AmazonUS	66.95	76.99
NV-AS86-HD44	B0H85KQJKS	AmazonUS	66.95	76.99
PB-ASAF-G2T6	B0H82K7Y7S	AmazonUS	66.95	76.99
PJ-ASAX-6LTG	B0H82T12L7	AmazonUS	219.57	252.99
PJ-ASDX-E8LW	B0H85MGP35	AmazonUS	66.95	76.99
PL-ASR9-U94A	B0H83RR2XQ	AmazonUS	114.27	130.99
PP-AS23-SPLQ	B0H84CDNQG	AmazonUS	66.95	76.99
PR-AS79-8SDF	B0H82L74PL	AmazonUS	74.75	85.99
PT-AS5B-Z2XH	B0H84Z6QWY	AmazonUS	66.95	76.99
PU-AS3D-SA5Z	B0H83H71F8	AmazonUS	258.57	297.99
PW-ASDZ-CSR8	B0H839TPC5	AmazonUS	114.27	130.99
PY-ASBM-WX6W	B0H82B7GV5	AmazonUS	66.95	76.99
QC-ASX2-RHPA	B0H83TQPJB	AmazonUS	258.57	297.99
QE-ASEQ-4YV5	B0H82CBLRM	AmazonUS	66.95	76.99
QP-ASAD-PTLX	B0H85DG2JQ	AmazonUS	66.95	76.99
QW-ASRZ-SYKC	B0H83MDDBL	AmazonUS	258.57	297.99
QX-AS89-H8YC	B0H82RQ226	AmazonUS	66.95	76.99
QX-ASS6-4T4F	B0H83B6TYP	AmazonUS	219.57	252.99
RB-ASVO-GYCY	B0H859N8VM	AmazonUS	66.95	76.99
RH-ASWA-ER34	B0H85JR6WN	AmazonUS	66.95	76.99
RL-AS64-Q8QX	B0H82LZLM2	AmazonUS	74.75	85.99
RM-ASCV-DVA5	B0H822CVVL	AmazonUS	66.95	76.99
RN-ASLP-VH3X	B0H82JYZQH	AmazonUS	74.75	85.99
RQ-AS0L-9B45	B0H85MQLHG	AmazonUS	66.95	76.99
RQ-AS78-STLZ	B0H85GR968	AmazonUS	66.95	76.99
RQ-ASM7-T9NN	B0H83HNB3B	AmazonUS	219.57	252.99
RR-ASG1-JVKV	B0H8361PYX	AmazonUS	114.27	130.99
RS-AS47-M3K3	B0H87748WJ	AmazonUS	66.95	76.99
RU-ASC3-4TUS	B0H83SJFR7	AmazonUS	66.95	76.99
RY-ASMO-6N4F	B0H8493HNR	AmazonUS	66.95	76.99
RY-ASO3-24Q2	B0H84XMG42	AmazonUS	66.95	76.99
RZ-AS26-WLRM	B0H85PJ516	AmazonUS	66.95	76.99
SA-ASCK-J2B2	B0H82XP1MM	AmazonUS	114.27	130.99
SA-ASDW-SNEW	B0H82SMZ2M	AmazonUS	114.27	130.99
SC-ASH8-4RQG	B0H856DWVS	AmazonUS	66.95	76.99
SG-AS32-LZ9Y	B0H8564C6D	AmazonUS	66.95	76.99
SG-ASLB-M2DG	B0H84PFKYC	AmazonUS	66.95	76.99
SH-ASO0-PW37	B0H83ZH3TB	AmazonUS	66.95	76.99
SS-AS9K-U9TV	B0H831889Q	AmazonUS	114.27	130.99
SU-ASS4-RV6R	B0H853HGHC	AmazonUS	66.95	76.99
SV-AS87-D6SV	B0H83ZGN22	AmazonUS	66.95	76.99
SZ-ASPI-JFAT	B0H776M5B5	AmazonUS	66.95	76.99
TH-AS6D-CCES	B0H845HSDZ	AmazonUS	66.95	76.99
TL-ASHN-ZRKG	B0H85P9F3R	AmazonUS	66.95	76.99
TP-AS91-8PAZ	B0H835T5HN	AmazonUS	74.75	85.99
TQ-ASBR-96TC	B0H82BCZ44	AmazonUS	66.95	76.99
TQ-ASC4-P2NP	B0H839G6RQ	AmazonUS	219.57	252.99
TY-AST2-JE9P	B0H84WQRXB	AmazonUS	66.95	76.99
UA-ASAO-RE7Q	B0H784LMG6	AmazonUS	114.27	130.99
UD-AS9J-QNY6	B0H834L7P6	AmazonUS	219.57	252.99
UE-ASA6-CLLY	B0H83ZHZ4S	AmazonUS	66.95	76.99
UF-ASA1-GN5P	B0H854DM3X	AmazonUS	66.95	76.99
UG-ASUO-L4D9	B0H83FP8WW	AmazonUS	219.57	252.99
UJ-ASQ1-9FNR	B0H82P651P	AmazonUS	66.95	76.99
UY-AS5N-A2E4	B0H83R4M3R	AmazonUS	258.57	297.99
VA-ASOK-QJCA	B0H85RZDX5	AmazonUS	66.95	76.99
VC-ASQE-L5Z5	B0H82QYM85	AmazonUS	114.27	130.99
VC-ASV1-378P	B0H786L5MW	AmazonUS	219.57	252.99
VH-ASHZ-TJEE	B0H856VWD6	AmazonUS	66.95	76.99
VK-ASSB-3YFK	B0H85FY28F	AmazonUS	66.95	76.99
VN-AS6Q-5AE9	B0H8538L32	AmazonUS	66.95	76.99
VT-ASTH-B6LM	B0H85CL8JD	AmazonUS	66.95	76.99
WC-ASH5-EFN6	B0H833W54L	AmazonUS	74.75	85.99
WK-AS2R-FJUW	B0H82XBNVN	AmazonUS	219.57	252.99
WK-AS7E-M3CE	B0H843R64X	AmazonUS	66.95	76.99
WK-ASPD-G9HL	B0H85CF81Y	AmazonUS	66.95	76.99
WN-AS33-UFEA	B0H83RCTVV	AmazonUS	258.57	297.99
WR-ASR5-AVWE	B0H859VYXH	AmazonUS	66.95	76.99
WR-ASTH-TPXV	B0H85DRT93	AmazonUS	66.95	76.99
WZ-ASXK-ZFAS	B0H85DF1R7	AmazonUS	66.95	76.99
XE-ASK1-BNRB	B0H81WMJBP	AmazonUS	114.27	130.99
XJ-ASVD-CDMW	B0H82MSTD9	AmazonUS	114.27	130.99
XV-ASEU-GDUX	B0H82YRTS3	AmazonUS	114.27	130.99
XW-ASSI-SZZT	B0H858GF4N	AmazonUS	66.95	76.99
YA-ASX6-PZE7	B0H82YB4PD	AmazonUS	74.75	85.99
YF-ASZJ-8BBH	B0H822MPKC	AmazonUS	74.75	85.99
YG-ASH6-BCXX	B0H8511Y5G	AmazonUS	66.95	76.99
YH-ASQ8-45ED	B0H82QPCJL	AmazonUS	114.27	130.99
YM-AS7P-ZX44	B0H83S1LDG	AmazonUS	258.57	297.99
YV-AST8-LMKN	B0H859JMGJ	AmazonUS	66.95	76.99
ZB-ASKL-9W8G	B0H82LKBYH	AmazonUS	114.27	130.99
ZC-ASDC-3QMV	B0H83TSB5J	AmazonUS	258.57	297.99
ZE-AS5W-FKH3	B0H8531B8B	AmazonUS	66.95	76.99
ZH-AS8W-G5MN	B0H82LMD9Z	AmazonUS	74.75	85.99
ZP-ASJD-X7ZD	B0H85N7X8W	AmazonUS	66.95	76.99
ZX-AS2C-GT8Q	B0H82L3LRT	AmazonUS	74.75	85.99
ZX-ASQU-TKU9	B0H84PVG1G	AmazonUS	66.95	76.99
ZY-ASZ4-QM5U	B0H83T9QZV	AmazonUS	258.57	297.99
