ASIN,SKU,count,arm,base_item_price,effective_price,lever
B0H83MDDBL,QW-ASRZ-SYKC,120,A,297.99,259.25,COUPON_13
B0H83NM5PX,BX-AS5P-6WQV,120,A,297.99,259.25,COUPON_13
B0H83RCTVV,WN-AS33-UFEA,120,A,297.99,259.25,COUPON_13
B0H83S368B,BH-ASVY-CR8H,120,A,297.99,259.25,COUPON_13
B0H83TQPJB,QC-ASX2-RHPA,120,A,297.99,259.25,COUPON_13
B0H83Z6S3Q,JT-ASKD-KS8T,120,A,297.99,259.25,COUPON_13
B0H822CVVL,RM-ASCV-DVA5,24,B,76.99,66.98,SALEPRICE_13
B0H827J2XZ,FX-AS2W-KHZT,24,B,76.99,66.98,SALEPRICE_13
B0H82B7GV5,PY-ASBM-WX6W,24,B,76.99,66.98,SALEPRICE_13
B0H82BCZ44,TQ-ASBR-96TC,24,B,76.99,66.98,SALEPRICE_13
B0H82J6V9T,AD-AS4H-QXZD,24,B,76.99,66.98,SALEPRICE_13
B0H82L945T,NS-ASSD-B3JJ,24,B,76.99,66.98,SALEPRICE_13
B0H82P651P,UJ-ASQ1-9FNR,24,B,76.99,66.98,SALEPRICE_13
B0H82S7TFG,GR-AS1P-DBB2,24,B,76.99,66.98,SALEPRICE_13
B0H82ZZS2P,AC-AS4J-B64F,24,B,76.99,66.98,SALEPRICE_13
B0H83QRV43,NC-ASPL-EXE8,24,B,76.99,66.98,SALEPRICE_13
B0H83XB855,EF-AS4A-JCLU,24,B,76.99,66.98,SALEPRICE_13
B0H83XV9WX,GX-ASTJ-WHV3,24,B,76.99,66.98,SALEPRICE_13
B0H83ZGN22,SV-AS87-D6SV,24,B,76.99,66.98,SALEPRICE_13
B0H83ZHZ4S,UE-ASA6-CLLY,24,B,76.99,66.98,SALEPRICE_13
B0H842HL49,BQ-ASUE-NT37,24,B,76.99,66.98,SALEPRICE_13
B0H843R64X,WK-AS7E-M3CE,24,B,76.99,66.98,SALEPRICE_13
B0H845HSDZ,TH-AS6D-CCES,24,B,76.99,66.98,SALEPRICE_13
B0H84621N6,JY-ASPW-LB4K,24,B,76.99,66.98,SALEPRICE_13
B0H84651LM,CE-ASGK-ZRHM,24,B,76.99,66.98,SALEPRICE_13
B0H84CDNQG,PP-AS23-SPLQ,24,B,76.99,66.98,SALEPRICE_13
B0H84G7DHC,AJ-ASRB-HKC3,24,B,76.99,66.98,SALEPRICE_13
B0H84PFKYC,SG-ASLB-M2DG,24,B,76.99,66.98,SALEPRICE_13
B0H84YZDB7,LU-ASK0-LSDF,24,B,76.99,66.98,SALEPRICE_13
B0H84Z9KWL,MP-ASYO-QNU2,24,B,76.99,66.98,SALEPRICE_13
B0H8511Y5G,YG-ASH6-BCXX,24,B,76.99,66.98,SALEPRICE_13
B0H8538L32,VN-AS6Q-5AE9,24,B,76.99,66.98,SALEPRICE_13
B0H853MCYZ,BH-AS7H-D4FV,24,B,76.99,66.98,SALEPRICE_13
B0H853VHRF,FM-AS51-S4MT,24,B,76.99,66.98,SALEPRICE_13
B0H854DM3X,UF-ASA1-GN5P,24,B,76.99,66.98,SALEPRICE_13
B0H856DWVS,SC-ASH8-4RQG,24,B,76.99,66.98,SALEPRICE_13
B0H856VWD6,VH-ASHZ-TJEE,24,B,76.99,66.98,SALEPRICE_13
B0H858GF4N,XW-ASSI-SZZT,24,B,76.99,66.98,SALEPRICE_13
B0H859N8VM,RB-ASVO-GYCY,24,B,76.99,66.98,SALEPRICE_13
B0H85B64V2,AG-ASKV-W9EN,24,B,76.99,66.98,SALEPRICE_13
B0H85CL8JD,VT-ASTH-B6LM,24,B,76.99,66.98,SALEPRICE_13
B0H85DG2JQ,QP-ASAD-PTLX,24,B,76.99,66.98,SALEPRICE_13
B0H85FY28F,VK-ASSB-3YFK,24,B,76.99,66.98,SALEPRICE_13
B0H85J88LJ,FN-ASVM-UWAG,24,B,76.99,66.98,SALEPRICE_13
B0H85JR6WN,RH-ASWA-ER34,24,B,76.99,66.98,SALEPRICE_13
B0H85MGP35,PJ-ASDX-E8LW,24,B,76.99,66.98,SALEPRICE_13
B0H85MXFH8,BD-AS8P-XAW5,24,B,76.99,66.98,SALEPRICE_13
B0H85P9F3R,TL-ASHN-ZRKG,24,B,76.99,66.98,SALEPRICE_13
B0H85RZDX5,VA-ASOK-QJCA,24,B,76.99,66.98,SALEPRICE_13
B0H8628LW3,AN-ASUW-49Y5,24,B,76.99,66.98,SALEPRICE_13
B0H86TVN3C,NM-ASEW-S2SK,24,B,76.99,66.98,SALEPRICE_13
