ASIN list,Discount type,Coupon discount % Off value,Coupon title,Coupon budget,Coupon start date,Coupon end date,Limit redemption to one per customer,Targeted Segment
B0H85PJ516,% off,13,Save 13% – Uncrustables Blackberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85RZDX5,% off,13,Save 13% – Uncrustables Sandwiches 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H856RRRK,% off,13,Save 13% – Uncrustables Chocolate Flavored 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H845JBM6,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H86PRTWS,% off,13,Save 13% – Uncrustables Blueberry Variety Pack 24c,100,2026-07-14,2026-08-13,Yes,All customers
B0H86Z59DW,% off,13,Save 13% – Uncrustables Honey 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H86TVN3C,% off,13,Save 13% – Uncrustables Mixed Berry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H891WSZ9,% off,13,Save 13% – Uncrustables Strawberry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H843Q9B5,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82LKBYH,% off,13,Save 13% – Uncrustables Blackberry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H835T5HN,% off,13,Save 13% – Uncrustables Mixed Berry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82L945T,% off,13,Save 13% – Uncrustables Mixed Berry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82S7TFG,% off,13,Save 13% – Uncrustables Grape 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82B7GV5,% off,13,Save 13% – Uncrustables and Grape 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82CBLRM,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82YMT6K,% off,13,Save 13% – Uncrustables Blueberry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82SMZ2M,% off,13,Save 13% – Uncrustables Mixed Berry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85V287S,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H853HGHC,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85DRT93,% off,13,Save 13% – Uncrustables Apple Cinnamon 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85J88LJ,% off,13,Save 13% – Uncrustables Grape 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85GR968,% off,13,Save 13% – Uncrustables Mixed Berry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H853VHRF,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84Z6QWY,% off,13,Save 13% – Uncrustables Jelly 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H857K38C,% off,13,Save 13% – Uncrustables Sandwiches 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H854C7SZ,% off,13,Save 13% – Uncrustables Sandwiches 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84PVG1G,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85N7X8W,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85JF1V1,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H853SHVC,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85DG2JQ,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H859JMGJ,% off,13,Save 13% – Uncrustables Chocolate Flavored 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H85FY28F,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84XMG42,% off,13,Save 13% – Uncrustables Mixed Berry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8564C6D,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H8462L4S,% off,13,Save 13% – Uncrustables Raspberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84G7DHC,% off,13,Save 13% – Uncrustables Sandwiches Variety Pack 24,100,2026-07-14,2026-08-13,Yes,All customers
B0H84CDNQG,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H84547PM,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H842HL49,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H843R64X,% off,13,Save 13% – Uncrustables Sandwich Variety Pack 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83QRV43,% off,13,Save 13% – Uncrustables Strawberry 24ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H83RR2XQ,% off,13,Save 13% – Uncrustables Mixed Berry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H837HLKC,% off,13,Save 13% – Uncrustables Mixed Berry 30ct,100,2026-07-14,2026-08-13,Yes,All customers
B0H82YRTS3,% off,13,Save 13% – Uncrustables Mixed Berry 45ct,100,2026-07-14,2026-08-13,Yes,All customers
