SKU	ASIN	SellingVenue	MinSellingPrice	MaxSellingPrice	PurchaseCost	RepricingModelID
2SUPBS	B0DQ28HHHG	AmazonUS	160.03	184.65	123.10	59021
3C-WHAH-JKXS	B0DQ55SS3J	AmazonUS	245.57	283.35	188.90	59021
3SUPBS	B0DQ28HHHG	AmazonUS	160.03	184.65	123.10	59021
4D-7Z1N-8091	B0DQ1FGVD2	AmazonUS	74.75	86.25	57.50	59021
5W-PBQS-NVZJ	B0DQ621QBT	AmazonUS	242.97	280.35	186.90	59021
67-RMFG-267S	B0DQ5BTBY5	AmazonUS	160.03	184.65	123.10	59021
6J-0LWZ-N5JL	B0DQ1H286S	AmazonUS	239.07	275.85	183.90	59021
6X-HAJ6-NN8X	B0DQ1CSQQG	AmazonUS	74.75	86.25	57.50	59021
714671745855	B0G2N6TCVD	AmazonUS	160.03	184.65	123.10	59021
714671745862	B0G2N1K8WR	AmazonUS	237.77	274.35	182.90	59021
714671745879	B0G2N57JLZ	AmazonUS	66.95	77.25	51.50	59021
714671745886	B0G2N46SQD	AmazonUS	118.17	136.35	90.90	59021
714671745893	B0G2N6RBHQ	AmazonUS	160.03	184.65	123.10	59021
714671745909	B0G2N4TPW5	AmazonUS	237.77	274.35	182.90	59021
714671745916	B0G2N236SK	AmazonUS	66.95	77.25	51.50	59021
714671745923	B0G2N4C38R	AmazonUS	118.17	139.54	90.90	59021
714671745930	B0G2N5CC62	AmazonUS	160.03	184.65	123.10	59021
714671745947	B0G2N6V2D5	AmazonUS	237.77	274.35	182.90	59021
714671745954	B0G2N5GYS5	AmazonUS	66.95	77.25	51.50	59021
714671745961	B0G2N6SH5R	AmazonUS	118.17	136.35	90.90	59021
714671745978	B0G2N3MNR6	AmazonUS	160.03	184.65	123.10	59021
714671745985	B0G2MZYKCS	AmazonUS	237.77	274.35	182.90	59021
714671745992	B0G2N1WYJC	AmazonUS	66.95	77.25	51.50	59021
714671746005	B0G2N59X3D	AmazonUS	118.17	136.35	90.90	59021
714671746012	B0G2N6S2JC	AmazonUS	160.03	184.65	123.10	59021
714671746029	B0G2N47DRR	AmazonUS	237.77	274.35	182.90	59021
714671746036	B0G2N1D7KS	AmazonUS	66.95	77.25	51.50	59021
714671746043	B0G2N2TP4P	AmazonUS	118.17	136.35	90.90	59021
714671746050	B0G2NV988H	AmazonUS	160.03	184.65	123.10	59021
714671746067	B0G2N6QWCZ	AmazonUS	237.77	274.35	182.90	59021
714671746074	B0G2P5GFG2	AmazonUS	66.95	77.25	51.50	59021
714671746081	B0G2MZ8KF8	AmazonUS	118.17	136.35	90.90	59021
714671746098	B0G2N4SXL4	AmazonUS	160.03	184.65	123.10	59021
714671746104	B0G2N4P4RM	AmazonUS	237.77	274.35	182.90	59021
714671746111	B0G2N7F9ZH	AmazonUS	66.95	77.25	51.50	59021
