store,sku,asin,total,cooler,landed,current_item_price,target_item_price,delta_pct,status,fulfillment,title
store1,714671746272,B0G2NRWMG7,24,S,51.50,81.67,77.25,6,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Chocolate Hazelnut Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,714671746319,B0G2N5LW8C,24,S,51.50,81.67,77.25,6,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Chocolate Hazelnut Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,714671746357,B0G2N59N2G,24,S,51.50,81.67,77.25,6,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter Chocolate Hazelnut and Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,714671746432,B0G2N2WP8C,24,S,51.50,81.67,77.25,6,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Honey Spread and Strawberry Jam Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,714671746470,B0G2N521R8,24,S,51.50,81.67,77.25,6,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Honey and Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,714671746517,B0G2N4KTYD,24,S,51.50,81.67,77.25,6,Active,DEFAULT,"Smucker's Uncrustables Chocolate Hazelnut & Peanut Butter Strawberry Jam Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,714671746555,B0G2N53GD2,24,S,51.50,81.67,77.25,6,Active,DEFAULT,"Uncrustables Chocolate Hazelnut & Peanut Butter Raspberry Spread Sandwiches Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,743269735961,B0FL2TWMQM,24,S,51.50,82.18,77.25,6,Active,DEFAULT,"Salutem Vita – Uncrustables Frozen Peanut Butter & Mixed Berry Spread Sandwich, Chocolate Hazelnut Spread Sandwich, Gift Set, 4 count – Pack of 6, 2 of Each flavor (total 24 pieces)"
store1,743269741016,B0G2N24WSL,24,S,51.50,81.67,77.25,6,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 6 (total 24 pieces)"
store1,4D-7Z1N-8091,B0DQ1FGVD2,30,S,57.50,90.83,86.25,5,Active,DEFAULT,"Uncrustables Frozen Peanut Butter & Grape Jelly Sandwich, 15 count - Pack of 2 (total 30 pieces)"
store1,714671746166,B0G2N4S1GN,48,M,90.90,142.93,136.35,5,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter and Grape Jelly Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,743269735954,B0FL2VXNWJ,108,XL,186.90,293.3,280.35,5,Active,DEFAULT,"Salutem Vita – Uncrustables Frozen Peanut Butter and Grape Jelly Sandwiches, Gift Set, 4 count – Pack of 27 (total 108 pieces)"
store1,743269740842,B0G2BH34LJ,80,XL,158.90,251.24,238.35,5,Active,DEFAULT,"Uncrustables Peanut Butter & Strawberry Sandwiches on Wheat Bread, Gift Set, 22,4 oz, 8 count each – Pack of 10 (total 80 pieces)"
store1,714671746616,B0G2N4SFL9,64,L,123.10,192.22,184.65,4,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Strawberry Jam Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 16 (total 64 pieces)"
store1,743269740576,B0G2BGM7RW,24,S,51.50,80.42,77.25,4,Active,DEFAULT,"Uncrustables Peanut Butter Apple Cinnamon Wheat Sandwiches, Gift Set, 22,4 oz, 8 count each – Pack of 3 (total 24 pieces)"
store1,743269740781,B0G2BFB4RF,48,M,90.90,141.31,136.35,4,Active,DEFAULT,"Uncrustables Chocolate Hazelnut Spread Sandwiches, Gift Set, 7,2 oz, 4 count each – Pack of 12 (total 48 pieces)"
store1,714671746029,B0G2N47DRR,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Mixed Berry Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746067,B0G2N6QWCZ,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746104,B0G2N4P4RM,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746142,B0G2N5HB2X,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwiches, Chocolate Hazelnut Spread Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746180,B0G2N6PWX5,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter and Grape Jelly Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
store1,714671746227,B0G2N6SW89,104,XL,182.90,283.63,274.35,3,Active,DEFAULT,"Smucker's Uncrustables Peanut Butter & Grape Jelly Sandwiches, Gift Set, 7.2 oz, 4 count each – Pack of 26 (total 104 pieces)"
