ordinal,sku,asin,status,other_slot_count,slot_indices,approved_card_slots,approved_card_exact_slot_1,additional_after_fixed_card,additional_count_4_to_6,relaxed_relevant_additional,obvious_irrelevant_additional,unknown_relevance_additional,slots_contiguous,exact_urls_unique,exact_asset_sha256_unique,known_true_visual_duplicate_count,local_binary_evidence_complete,fresh_secondary_binary_evidence_count,current_matches_sealed_after,remote_url_reachability_freshly_checked,needs_fix_reasons,unknown_reasons,listing_sha256,row_evidence_sha256
34,EZ-ASLA-Y7MZ,B0H83GBJLW,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,9fc49f106a75427400f8dc0694f3e0bb8ad9c29b63fc519a62c88e8981a817d9,c5b5c80ccd5241220cf8134ce54593bfb7ecbbaf87e058f28812ccad55e94d7a
35,FK-AS6B-6G25,B0H8259J9G,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,7dae07fd9578b235d85d51bd0141cabcbd2bedd557a400c092150477c1a50413,65fe4506980f1aa900cc841e8d223d23c046231f2e1d066b786053b2b89587e3
36,FM-AS51-S4MT,B0H853VHRF,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,bcfcef822e5a4c3e8bb0593c5f3c778fcd656e015718c9f8755b66ce56853f30,06080cd122bcfdc32c694ed9a88f5b09d2b139e5f62b5dfd6583388666eec26d
37,FN-ASVM-UWAG,B0H85J88LJ,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,ca6eb0b77ce9f7ea8514eff8ebda2f848a82e58054cf32def70e1e405c9c8c88,1b6b0375358660ed9f34828831215efe76bb306122574422b4fcf0f7c0315eab
38,FR-AS6X-5KJY,B0H827V9DJ,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,5246a6d0efa2706c0f0ef2d9bea23b129ab133ac4e982bf4de74a998998bc802,ab1a87f825edc8c27f4aa6b17470da68430d9717297adaf9b9daadb525196bc5
39,FV-AS47-EJZW,B0H82SZSYJ,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,bfa2841bd5a61b0f1c3aca2bc48a9388100f13b8e8539b27c150784ce77d5940,abf50c6196b291f6c90829c408e7a77e26b5ae5c43c32a107136fe6a662581ff
40,FX-AS2W-KHZT,B0H827J2XZ,PASS,7,1|2|3|4|5|6|7,1,true,6,true,6,0,0,true,true,true,0,true,0,true,false,,,c6258afe4f436c91f3e780b7e685f0ed2a715d0c7666423825c53064823656ff,909c04e3418728b3d86bb88171e05ce6e6271654967a793a22d023ad8c5b8916
41,GG-ASNC-C9WA,B0H8219Z7T,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,3f87adc77d0408b66f38984b678abb22fb8cb833a472b8d899c093897aa43f16,de95a24b17220a675f452d685c94175f1f618ea9adadf2cfaa9568042df263ef
42,GR-AS0R-YPCF,B0H82GJ292,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,100bb0d3c0e440cd92cd29d117fc9ab5f09649f8d325d7b35ac2f38fd2e575ae,f55ca2e0cd557da949071ce8744977c7735cdc88ce55b8e6f56bdd85f96b7a99
43,GR-AS1P-DBB2,B0H82S7TFG,NEEDS_FIX,7,1|2|3|4|5|6|7,1,true,6,true,5,1,0,true,true,true,0,true,0,false,false,OBVIOUSLY_IRRELEVANT_OR_WRONG_COPY_IMAGE,,702271e54aecbd8b508e7dd2262da201507e67f2afaa8d0bfd38bbdb05d80cf1,09f146265327204a1a99de08b151f82caa5e4d59b6c36134128031b9d7fae18b
